Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"Макрон похвастался «коллективной тревогой» в Европе","Мир","LENTA","Mon, 04 May 2026 23:16:00 +0300","https://lenta.ru/news/2026/05/04/makron-pohvastalsya-kollektivnoy-trevogoy/","отсутсвует"
"Ушла из жизни легендарная советская певица","Культура","LENTA","Mon, 04 May 2026 23:05:00 +0300","https://lenta.ru/news/2026/05/04/ushla-iz-zhizni-legendarnaya-sovetskaya-pevitsa/","отсутсвует"
"В США выступили с неутешительным прогнозом для Зеленского","Мир","LENTA","Mon, 04 May 2026 22:56:16 +0300","https://lenta.ru/news/2026/05/04/v-ssha-vystupili-s-neuteshitelnym-prognozom/","отсутсвует"
"Пожар в Днепропетровске после удара БПЛА сняли на видео","Бывший СССР","LENTA","Mon, 04 May 2026 22:55:00 +0300","https://lenta.ru/news/2026/05/04/pozhar-v-dnepropetrovske-posle-udara-bpla-snyali-na-video/","отсутсвует"
"Вышедший из тюрьмы самый титулованный футболист мира выступил перед 35 тысячами человек","Спорт","LENTA","Mon, 04 May 2026 22:47:00 +0300","https://lenta.ru/news/2026/05/04/vyshedshiy-iz-tyurmy-samyy-titulovannyy-futbolist-mira-vystupil-pered-35-tysyachami-chelovek/","отсутсвует"
"Военкор сделал заявление о перемирии с Украиной","Бывший СССР","LENTA","Mon, 04 May 2026 22:42:00 +0300","https://lenta.ru/news/2026/05/04/voenkor-sdelal-zayavlenie-o-peremirii-s-ukrainoy/","отсутсвует"
"Белый дом показал Трампа в образе Мандалорца","Мир","LENTA","Mon, 04 May 2026 22:33:00 +0300","https://lenta.ru/news/2026/05/04/belyy-dom-pokazal-trampa-v-obraze-mandalortsa/","отсутсвует"
"Двое россиян пострадали из-за атак ВСУ","Россия","LENTA","Mon, 04 May 2026 22:33:00 +0300","https://lenta.ru/news/2026/05/04/dvoe-rossiyan-postradali-iz-za-atak-vsu/","отсутсвует"
"Желание Зеленского ввести перемирие за трое суток до Дня Победы объяснили","Бывший СССР","LENTA","Mon, 04 May 2026 22:33:00 +0300","https://lenta.ru/news/2026/05/04/zhelanie-zelenskogo-vvesti-peremirie-za-troe-sutok-do-dnya-pobedy-ob-yasnili/","отсутсвует"
"В Финляндии раскрыли признак провала и раскола НАТО","Мир","LENTA","Mon, 04 May 2026 22:32:00 +0300","https://lenta.ru/news/2026/05/04/v-finlyandii-raskryli-priznaki-provala-i-raskola-nato/","отсутсвует"
"В Раде объяснили решение Зеленского объявить перемирие","Бывший СССР","LENTA","Mon, 04 May 2026 22:12:00 +0300","https://lenta.ru/news/2026/05/04/v-rade/","отсутсвует"
"Стармер пригрозил Трампу и обратился к Европе","Мир","LENTA","Mon, 04 May 2026 22:07:00 +0300","https://lenta.ru/news/2026/05/04/starmer-prigrozil-trampu-i-obratilsya-k-evrope/","отсутсвует"
"В России изменили правила сдачи экзаменов на водительские права","Россия","LENTA","Mon, 04 May 2026 22:06:00 +0300","https://lenta.ru/news/2026/05/04/v-rossii-izmenili-pravila-sdachi-ekzamenov-na-voditelskie-prava/","отсутсвует"
"Раскрыты подробности массовой аварии с неуправляемым грузовиком на МКАД","Авто","LENTA","Mon, 04 May 2026 22:03:00 +0300","https://lenta.ru/news/2026/05/04/raskryty-podrobnosti-massovoy-avarii-s-neupravlyaemym-gruzovikom-na-mkad/","отсутсвует"
"Над эстонской Нарвой заметили десятки летящих в сторону России БПЛА","Бывший СССР","LENTA","Mon, 04 May 2026 21:58:00 +0300","https://lenta.ru/news/2026/05/04/nad-estonskoy-narvoy-zametili-desyatki-letyaschih-v-storonu-rossii-bpla/","отсутсвует"
"Зеленский объявил перемирие","Бывший СССР","LENTA","Mon, 04 May 2026 21:53:00 +0300","https://lenta.ru/news/2026/05/04/zelenskiy-ob-yavil-peremirie/","отсутсвует"
"В Иране рассказали об обмене посланиями с США","Мир","LENTA","Fri, 29 May 2026 21:15:00 +0300","https://lenta.ru/news/2026/05/29/v-irane-rasskazali-ob-obmene-poslaniyami-s-ssha/","отсутсвует"
"Посольство в Румынии назвало инцидент с дроном провокацией Украины","Мир","LENTA","Fri, 29 May 2026 21:11:39 +0300","https://lenta.ru/news/2026/05/29/ukrr/","отсутсвует"
"На Западе раскрыли страх Зеленского","Мир","LENTA","Fri, 29 May 2026 21:08:34 +0300","https://lenta.ru/news/2026/05/30/na-zapade-raskryli-strah-zelenskogo/","отсутсвует"
"«Можем сровнять с землей всех». Путин высказался о переговорах по Украине, угрозах в адрес России и вероятности войны с Европой","Россия","LENTA","Fri, 29 May 2026 20:58:31 +0300","https://lenta.ru/news/2026/05/29/sravnyaem-s-zemley-putin-vystupil-s-zayavleniyami-ob-ukraine-pribaltike-i-evrope/","отсутсвует"
"Колокол легендарного крейсера подняли со дна Охотского моря в России","Моя страна","LENTA","Fri, 29 May 2026 20:55:00 +0300","https://lenta.ru/news/2026/05/29/kolokol-legendarnogo-kreysera-podnyali-so-dna-ohotskogo-morya-v-rossii/","отсутсвует"
"Путин оценил потери Армении в случае выхода страны из ЕЭАС","Экономика","LENTA","Fri, 29 May 2026 20:52:18 +0300","https://lenta.ru/news/2026/05/29/putin-otsenil-poteri-armenii-v-sluchae-vyhoda-strany-iz-eeas/","отсутсвует"
"Стал известен вердикт ISU о переходе сына Плющенко в Азербайджан","Спорт","LENTA","Fri, 29 May 2026 20:49:00 +0300","https://lenta.ru/news/2026/05/29/stal-izvesten-verdikt-isu-o-perehode-syna-plyuschenko-v-azerbaydzhan/","отсутсвует"
"Гигантского пещерного льва обнаружили в России","Моя страна","LENTA","Fri, 29 May 2026 20:40:00 +0300","https://lenta.ru/news/2026/05/29/gigantskogo-peschernogo-lva-obnaruzhili-v-rossii/","отсутсвует"
"Наряд экс-первой ракетки мира на корте вызвал споры в сети","Ценности","LENTA","Fri, 29 May 2026 20:33:40 +0300","https://lenta.ru/news/2026/05/29/naryad-eks-pervoy-raketki-mira-na-korte-vyzval-spory-v-seti/","отсутсвует"
"НАТО выступила с заявлением о принадлежности залетевшего в Румынию дрона","Мир","LENTA","Fri, 29 May 2026 20:33:00 +0300","https://lenta.ru/news/2026/05/29/nato-vystupila-s-zayavleniem-o-prinadlezhnosti-zaletevshego-v-rumyniyu-drona/","отсутсвует"
"Звезда «Клона» прошла 27 врачей и четыре ненужные операции до постановки верного диагноза","Забота о себе","LENTA","Fri, 29 May 2026 20:32:00 +0300","https://lenta.ru/news/2026/05/29/zvezda-klona-proshla-27-vrachey-i-chetyre-nenuzhnye-operatsii-do-postanovki-vernogo-diagnoza/","отсутсвует"
"Раскрыт размер комфортного платежа по ипотеке","Экономика","LENTA","Fri, 29 May 2026 20:31:46 +0300","https://lenta.ru/news/2026/05/29/raskryt-razmer-komfortnogo-platezha-po-ipoteke/","отсутсвует"
"Раскрыта опасность гниющего в погребе картофеля","Экономика","LENTA","Fri, 29 May 2026 20:31:11 +0300","https://lenta.ru/news/2026/05/29/raskryta-opasnost-gniyuschego-v-pogrebe-kartofelya/","отсутсвует"
"Назван самый дорогой футбольный клуб мира","Спорт","LENTA","Fri, 29 May 2026 20:30:31 +0300","https://lenta.ru/news/2026/05/29/nazvan-samyy-dorogoy-futbolnyy-klub-mira/","отсутсвует"
"Пассажир испугал стюардесс своим видом после пластической операции и был снят с рейса","Путешествия","LENTA","Fri, 29 May 2026 20:23:17 +0300","https://lenta.ru/news/2026/05/29/passazhir-ispugal-styuardess-svoim-vidom-posle-plasticheskoy-operatsii-i-byl-snyat-s-reysa/","отсутсвует"
"Профессор уголовного права российского университета отдал мошенникам миллионы","Силовые структуры","LENTA","Fri, 29 May 2026 20:22:00 +0300","https://lenta.ru/news/2026/05/29/professor-ugolovnogo-prava-rossiyskogo-universiteta-otdal-moshennikam-milliony/","отсутсвует"
"Популярный российский комик рассказал о пьяной выходке с голым задом","Интернет и СМИ","LENTA","Fri, 29 May 2026 20:21:14 +0300","https://lenta.ru/news/2026/05/29/zad/","отсутсвует"
"Путин высказался о запуске беспилотников с территории Латвии","Бывший СССР","LENTA","Fri, 29 May 2026 20:17:36 +0300","https://lenta.ru/news/2026/05/29/putin-vyskazalsya-o-zapuske-bespilotnikov-s-territorii-latvii/","отсутсвует"
"Укравший 42 миллиона долларов сотрудник ЦРУ обманывал власти США 29 лет","Из жизни","LENTA","Fri, 29 May 2026 20:17:24 +0300","https://lenta.ru/news/2026/05/29/ukravshiy-42-milliona-dollarov-sotrudnik-tsru-obmanyval-vlasti-ssha-29-let/","отсутсвует"
"В России назвали ставшее точкой кипения в отношениях с ЕАЭС действие Еревана","Россия","LENTA","Fri, 29 May 2026 20:15:53 +0300","https://lenta.ru/news/2026/05/29/v-rossii-nazvali-stavshee-tochkoy-kipeniya-v-otnosheniyah-s-eaes-deystvie-erevana/","отсутсвует"
"Зеленский рассказал о контактах ВСУ с румынскими военными после инцидента с БПЛА","Бывший СССР","LENTA","Fri, 29 May 2026 20:15:25 +0300","https://lenta.ru/news/2026/05/29/zelenskiy-rasskazal-o-kontaktah-vsu-s-rumynskimi-voennymi-posle-intsidenta-s-bpla/","отсутсвует"
"Возлюбленная Дурова раскрыла желаемые роскошные подарки","Ценности","LENTA","Fri, 29 May 2026 20:09:03 +0300","https://lenta.ru/news/2026/05/29/vozlyublennaya-durova-raskryla-zhelaemye-roskoshnye-podarki/","отсутсвует"
"33-летний мужчина домогался девочки-подростка на пляже в Европе","Путешествия","LENTA","Fri, 29 May 2026 20:02:00 +0300","https://lenta.ru/news/2026/05/29/33-letniy-muzhchina-domogalsya-devochki-podrostka-na-plyazhe-v-evrope/","отсутсвует"
"В США обрадовались получению Украиной «лучшего истребителя» против России","Наука и техника","LENTA","Fri, 29 May 2026 20:02:00 +0300","https://lenta.ru/news/2026/05/29/v-ssha-obradovalis-polucheniyu-ukrainoy-luchshego-istrebitelya-protiv-rossii/","отсутсвует"
"Москвичам рассказали о погоде в начале лета","Экономика","LENTA","Fri, 29 May 2026 20:01:00 +0300","https://lenta.ru/news/2026/05/29/moskvicham-rasskazali-o-pogode-v-nachale-leta/","отсутсвует"
"Заблудившуюся в лесу россиянку спасли с помощью дрона","Моя страна","LENTA","Fri, 29 May 2026 19:59:00 +0300","https://lenta.ru/news/2026/05/29/zabludivshuyusya-v-lesu-rossiyanku-spasli-s-pomoschyu-drona/","отсутсвует"
"Путин призвал к одному действию в рамках СВО","Россия","LENTA","Fri, 29 May 2026 19:58:00 +0300","https://lenta.ru/news/2026/05/29/putin-prizval-k-odnomu-deystviyu-v-ramkah-svo/","отсутсвует"
"Тревел-блогерша описала жизнь на заповедном острове в России фразой «70 человек и волки»","Моя страна","LENTA","Fri, 29 May 2026 19:55:00 +0300","https://lenta.ru/news/2026/05/29/trevel-blogersha-opisala-zhizn-na-zapovednom-ostrove-v-rossii-frazoy-70-chelovek-i-volki/","отсутсвует"
"Дробыш сделал предостережение SHAMAN из-за клипа с «поющими иноагентами»","Культура","LENTA","Fri, 29 May 2026 19:52:00 +0300","https://lenta.ru/news/2026/05/29/drobysh-sdelal-predosterezhenie-shaman-iz-za-klipa-s-poyuschimi-inoagentami/","отсутсвует"
"Путин обвинил Запад в поставках Украине дронов для ударов по России","Мир","LENTA","Fri, 29 May 2026 19:51:00 +0300","https://lenta.ru/news/2026/05/29/putin-obvinil-zapad-v-postavkah-ukraine-dronov-dlya-udarov-po-rossii/","отсутсвует"
"Сроки восстановления поставок нефти с Ближнего Востока спрогнозировали","Экономика","LENTA","Fri, 29 May 2026 19:49:00 +0300","https://lenta.ru/news/2026/05/29/sroki-vosstanovleniya-postavok-nefti-s-blizhnego-vostoka-sprognozirovali/","отсутсвует"
"Путин ответил на угрозы Литвы словами «есть все средства сровнять с землей»","Бывший СССР","LENTA","Fri, 29 May 2026 19:47:00 +0300","https://lenta.ru/news/2026/05/29/putin-02-kz/","отсутсвует"
"Путин оценил кандидатуру Шредера на роль переговорщика с Россией","Мир","LENTA","Fri, 29 May 2026 19:46:00 +0300","https://lenta.ru/news/2026/05/29/putin-otsenil-kandidaturu-shredera-na-rol-peregovorschika-s-rossiey/","отсутсвует"
"В Японии нашли возможность иметь дорогие машины без их покупки","Авто","LENTA","Fri, 29 May 2026 19:38:52 +0300","https://lenta.ru/news/2026/05/29/v-yaponii-nashli-vozmozhnost-imet-dorogie-mashiny-bez-ih-pokupki/","отсутсвует"
"Путин высказался о кандидатуре переговорщика от ЕС","Мир","LENTA","Fri, 29 May 2026 19:36:00 +0300","https://lenta.ru/news/2026/05/29/putin-vyskazalsya-o-kandidature-peregovorschika-ot-es/","отсутсвует"
"Путин раскрыл подробности о боях в зоне СВО","Россия","LENTA","Fri, 29 May 2026 19:34:00 +0300","https://lenta.ru/news/2026/05/29/putin-raskryl-podrobnosti-o-boyah-v-zone-svo/","отсутсвует"
"Россиянин сбросил маленькую племянницу с балкона и объяснил свой поступок","Силовые структуры","LENTA","Fri, 29 May 2026 19:33:34 +0300","https://lenta.ru/news/2026/05/29/rossiyanin-sbrosil-malenkuyu-plemyannitsu-s-balkona-i-ob-yasnil-svoy-postupok/","отсутсвует"
"Серийный убийца начал орудовать на любимом курорте американцев","Из жизни","LENTA","Fri, 29 May 2026 19:32:45 +0300","https://lenta.ru/news/2026/05/29/seriynyy-ubiytsa-nachal-orudovat-na-lyubimom-kurorte-amerikantsev/","отсутсвует"
"Путин выразил готовность к переговорам по Украине","Бывший СССР","LENTA","Fri, 29 May 2026 19:32:00 +0300","https://lenta.ru/news/2026/05/29/putin-vyrazil-gotovnost-k-peregovoram-po-ukraine/","отсутсвует"
"Обычный продукт с дачи оказался способен вызвать галлюцинации","Забота о себе","LENTA","Fri, 29 May 2026 19:29:00 +0300","https://lenta.ru/news/2026/05/29/obychnyy-produkt-s-dachi-okazalsya-sposoben-vyzvat-gallyutsinatsii/","отсутсвует"
"Путину доложили о новых попытках Украины ударить по России","Россия","LENTA","Fri, 29 May 2026 19:29:00 +0300","https://lenta.ru/news/2026/05/29/putinu-dolozhili-o-novyh-popytkah-ukrainy-udarit-po-rossii/","отсутсвует"
"Бывшая стюардесса суперъяхты раскрыла размер чаевых от миллиардеров","Ценности","LENTA","Fri, 29 May 2026 19:28:00 +0300","https://lenta.ru/news/2026/05/29/byvshaya-styuardessa-super-yahty-raskryla-razmer-chaevyh-ot-milliarderov/","отсутсвует"
"Путин прокомментировал заявления о подготовке Европы к войне с Россией","Мир","LENTA","Fri, 29 May 2026 19:26:00 +0300","https://lenta.ru/news/2026/05/29/putin-prokommentiroval-zayavleniya-o-podgotovke-evropy-k-voyne-s-rossiey/","отсутсвует"
"Двукратный олимпийский чемпион обвинил Исинбаеву в побеге из страны","Спорт","LENTA","Fri, 29 May 2026 19:24:00 +0300","https://lenta.ru/news/2026/05/29/dvukratnyy-olimpiyskiy-chempion-obvinil-isinbaevu-v-pobege-iz-strany/","отсутсвует"
"Путин объяснил свои слова об окончании СВО","Россия","LENTA","Fri, 29 May 2026 19:23:00 +0300","https://lenta.ru/news/2026/05/29/putin-vyskazalsya-o-hode-svo-frazoy-situatsiya-blizitsya-k-zaversheniyu/","отсутсвует"
"Путин высказался о сроках завершения СВО","Россия","LENTA","Fri, 29 May 2026 19:19:00 +0300","https://lenta.ru/news/2026/05/29/putin-vyskazalsya-o-srokah-zaversheniya-svo/","отсутсвует"
"Пассажир остался со шрамами на всю жизнь по вине стюардессы","Путешествия","LENTA","Fri, 29 May 2026 19:14:08 +0300","https://lenta.ru/news/2026/05/29/passazhir-ostalsya-so-shramami-na-vsyu-zhizn-po-vine-styuardessy/","отсутсвует"
"Путин рассказал о передаче США обломков атаковавших его резиденцию БПЛА","Мир","LENTA","Fri, 29 May 2026 19:10:51 +0300","https://lenta.ru/news/2026/05/29/putin-rasskazal-o-peredache-ssha-oblomkov-atakovavshih-ego-rezidentsiyu-bpla/","отсутсвует"
"Варламов раскрыл размер пенсии в Нидерландах","Интернет и СМИ","LENTA","Fri, 29 May 2026 19:10:44 +0300","https://lenta.ru/news/2026/05/29/varlamov-raskryl-razmer-pensii-v-niderlandah/","отсутсвует"
"В России не увидели причин для сотрудничества с США в освоении Луны","Наука и техника","LENTA","Fri, 29 May 2026 19:07:00 +0300","https://lenta.ru/news/2026/05/29/v-rossii-ne-uvideli-prichin-dlya-sotrudnichestva-s-ssha-po-lune/","отсутсвует"
"«ВКонтакте» представила проекты ко Дню защиты детей","Интернет и СМИ","LENTA","Fri, 29 May 2026 19:04:32 +0300","https://lenta.ru/news/2026/05/29/vkontakte-predstavila-proekty-ko-dnyu-zaschity-detey/","отсутсвует"
"Нефть подешевела до минимума с 17 апреля","Экономика","LENTA","Fri, 29 May 2026 19:04:31 +0300","https://lenta.ru/news/2026/05/29/neft-podeshevela-do-minimuma-s-17-aprelya/","отсутсвует"
"В ЕС назвали ожидаемый заработок от нового налога","Экономика","LENTA","Fri, 29 May 2026 19:02:00 +0300","https://lenta.ru/news/2026/05/29/v-es-nazvali-ozhidaemyy-zarabotok-ot-novogo-naloga/","отсутсвует"
"Путин провел параллели между Украиной и Арменией","Бывший СССР","LENTA","Fri, 29 May 2026 19:00:00 +0300","https://lenta.ru/news/2026/05/29/putin-01-kz/","отсутсвует"
"Путин предположил причину инцидента с БПЛА в Румынии","Мир","LENTA","Fri, 29 May 2026 18:59:00 +0300","https://lenta.ru/news/2026/05/29/putin-predpolozhil-prichinu-intsidenta-s-bpla-v-rumynii/","отсутсвует"
"Президент Венгрии отказался уходить в отставку по требованию нового премьера","Мир","LENTA","Fri, 29 May 2026 18:56:00 +0300","https://lenta.ru/news/2026/05/29/prezident-vengrii-otkazalsya-uhodit-v-otstavku-po-trebovaniyu-novogo-premiera/","отсутсвует"
"Путин объяснил реакцию ЕС на упавший в Румынии дрон","Мир","LENTA","Fri, 29 May 2026 18:54:00 +0300","https://lenta.ru/news/2026/05/29/putin-ob-yasnil-reaktsiyu-es-na-upavshiy-v-rumynii-dron/","отсутсвует"
"Путин прокомментировал инцидент с БПЛА в Румынии","Мир","LENTA","Fri, 29 May 2026 18:50:00 +0300","https://lenta.ru/news/2026/05/29/putin-prokommentiroval-intsident-s-bpla-v-rumynii/","отсутсвует"
"Названа общая уязвимость России и Казахстана","Бывший СССР","LENTA","Fri, 29 May 2026 18:50:00 +0300","https://lenta.ru/news/2026/05/29/nazvana-obschaya-uyazvimost-rossii-i-kazahstana/","отсутсвует"
"Путин «заговорился» с Лукашенко","Бывший СССР","LENTA","Fri, 29 May 2026 18:50:00 +0300","https://lenta.ru/news/2026/05/29/putin-zagovorilsya-s-lukashenko/","отсутсвует"
"Президент Лукашенко обрушился с критикой ставок утилизационных сборов в ЕАЭС","Авто","LENTA","Fri, 29 May 2026 18:50:00 +0300","https://lenta.ru/news/2026/05/29/prezident-lukashenko-obrushilsya-s-kritikoy-stavok-utilizatsionnogo-sbora-v-eaes/","отсутсвует"
"Мужчина сбежал из автозака и попал под поезд","Из жизни","LENTA","Fri, 29 May 2026 18:49:00 +0300","https://lenta.ru/news/2026/05/29/muzhchina-sbezhal-iz-avtozaka-i-popal-pod-poezd/","отсутсвует"
"Названа длительность первой в Уральском федеральном округе ракетной опасности","Россия","LENTA","Fri, 29 May 2026 18:45:00 +0300","https://lenta.ru/news/2026/05/29/nazvana-dlitelnost-pervoy-v-uralskom-federalnom-okruge-raketnoy-opasnosti/","отсутсвует"
"Для российского IT-предпринимателя запросили наказание по резонансному делу","Силовые структуры","LENTA","Fri, 29 May 2026 18:45:00 +0300","https://lenta.ru/news/2026/05/29/dlya-rossiyskogo-it-predprinimatelya-zaprosili-nakazanie-po-rezonansnomu-delu/","отсутсвует"
"Ролик в TikTok вдохновил россиянина на аферу","Силовые структуры","LENTA","Fri, 29 May 2026 18:45:00 +0300","https://lenta.ru/news/2026/05/29/rolik-v-tiktok-vdohnovil-rossiyanina-na-aferu/","отсутсвует"
"Уехавший из России комик-иноагент пошутил о возвращении","Интернет и СМИ","LENTA","Fri, 29 May 2026 18:42:00 +0300","https://lenta.ru/news/2026/05/29/uehavshiy-iz-rossii-komik-inoagent-poshutil-o-vozvraschenii/","отсутсвует"
"Названа страна с самыми красивыми женщинами. На каком месте в рейтинге оказалась Россия?","Ценности","LENTA","Fri, 29 May 2026 18:39:00 +0300","https://lenta.ru/news/2026/05/29/samye-krasivye-zhenschiny-po-stranam-super/","отсутсвует"
"Визит Путина в Казахстан разрушил один миф о России","Бывший СССР","LENTA","Fri, 29 May 2026 18:37:00 +0300","https://lenta.ru/news/2026/05/29/vizit-putina-v-kazahstan-razrushil-odin-mif-o-rossii/","отсутсвует"
"Лукашенко анонсировал заявление Путина по Армении","Бывший СССР","LENTA","Fri, 29 May 2026 18:35:00 +0300","https://lenta.ru/news/2026/05/29/lukashenko-anonsiroval-zayavlenie-putina-po-armenii/","отсутсвует"
"Моуринью подписал контракт с «Реалом»","Спорт","LENTA","Fri, 29 May 2026 18:33:17 +0300","https://lenta.ru/news/2026/05/29/mourinyu-podpisal-kontrakt-s-realom/","отсутсвует"
"В России отреагировали на обвинения Европы из-за инцидента с беспилотником в Румынии","Россия","LENTA","Fri, 29 May 2026 18:33:00 +0300","https://lenta.ru/news/2026/05/29/v-rossii-otreagirovali-na-obvineniya-evropy-iz-za-intsidenta-s-bespilotnikom-v-rumynii/","отсутсвует"
"Обвинявшийся в насилии над женами Башаров получил пощечину от новой девушки","Культура","LENTA","Fri, 29 May 2026 18:30:48 +0300","https://lenta.ru/news/2026/05/29/obvinyavshiysya-v-nasilii-nad-zhenami-basharov-poluchil-poschechinu-ot-novoy-devushki/","отсутсвует"
"Мужчинам назвали пять простых привычек для здоровой простаты","Забота о себе","LENTA","Fri, 29 May 2026 18:30:48 +0300","https://lenta.ru/news/2026/05/29/muzhchinam-nazvali-pyat-prostyh-privychek-dlya-zdorovoy-prostaty/","отсутсвует"
"Завкафедрой уголовного права российского вуза отдал аферистам более 15 миллионов рублей","Силовые структуры","LENTA","Fri, 29 May 2026 18:27:00 +0300","https://lenta.ru/news/2026/05/29/zavkafedroy/","отсутсвует"
"Смолов поставил крупную сумму на «сухарь» Сафонова в финале ЛЧ","Спорт","LENTA","Fri, 29 May 2026 18:25:00 +0300","https://lenta.ru/news/2026/05/29/smolov-postavil-krupnuyu-summu-na-suhar-safonova-v-finale-lch/","отсутсвует"
"В Ереване заметили иранскую копию российской «Касты»","Наука и техника","LENTA","Fri, 29 May 2026 18:24:00 +0300","https://lenta.ru/news/2026/05/29/v-erevane-zametili-iranskuyu-kopiyu-rossiyskoy-kasty/","отсутсвует"
"Фанатские футболки стали новым трендом","Ценности","LENTA","Fri, 29 May 2026 18:23:00 +0300","https://lenta.ru/news/2026/05/29/rossiyan-prizvali-nosit-neobychnuyu-vesch/","отсутсвует"
"Российский боец рассказал о тактике выслеживания солдат ВСУ","Россия","LENTA","Fri, 29 May 2026 18:21:00 +0300","https://lenta.ru/news/2026/05/29/rossiyskiy-boets-rasskazal-o-taktike-vyslezhivaniya-soldat-vsu/","отсутсвует"
"Варламов рассказал европейцу о гречке с молоком и столкнулся с непониманием","Интернет и СМИ","LENTA","Fri, 29 May 2026 18:20:00 +0300","https://lenta.ru/news/2026/05/29/varlamov-rasskazal-evropeytsu-o-grechke-s-molokom-i-stolknulsya-s-neponimaniem/","отсутсвует"
"ЦБ понизил курс доллара в России","Экономика","LENTA","Fri, 29 May 2026 18:20:00 +0300","https://lenta.ru/news/2026/05/29/tsb-ponizil-kurs-dollara-v-rossii/","отсутсвует"
"Жителей Стамбула предупредили о возможном масштабном землетрясении","Экономика","LENTA","Fri, 29 May 2026 18:19:00 +0300","https://lenta.ru/news/2026/05/29/zemletryas-istanbul/","отсутсвует"
"Раскрыта стоимость отдыха в России для иностранцев","Путешествия","LENTA","Fri, 29 May 2026 18:17:00 +0300","https://lenta.ru/news/2026/05/29/raskryta-stoimost-otdyha-v-rossii-dlya-inostrantsev/","отсутсвует"
"Подделки работ Эрнста Неизвестного попали на видео","Силовые структуры","LENTA","Fri, 29 May 2026 18:16:00 +0300","https://lenta.ru/news/2026/05/29/poddelki-rabot-ernsta-neizvestnogo-popali-na-video/","отсутсвует"
"В Подмосковье предложили пожить бесплатно в мусорном доме","Экономика","LENTA","Fri, 29 May 2026 18:15:00 +0300","https://lenta.ru/news/2026/05/29/v-podmoskovie-predlozhili-pozhit-besplatno-v-musornom-dome/","отсутсвует"
"Россельхознадзор ограничил ввоз фруктов и овощей еще из одной страны","Экономика","LENTA","Fri, 29 May 2026 18:14:00 +0300","https://lenta.ru/news/2026/05/29/rosselhoznadzor/","отсутсвует"
"Трамп анонсировал финальное решение по Ирану","Мир","LENTA","Fri, 29 May 2026 18:11:00 +0300","https://lenta.ru/news/2026/05/29/tramp-anonsiroval-finalnoe-reshenie-po-iranu/","отсутсвует"
"Оценен ущерб от подделки работ Эрнста Неизвестного","Силовые структуры","LENTA","Fri, 29 May 2026 18:07:00 +0300","https://lenta.ru/news/2026/05/29/otsenen-uscherb-ot-poddelok-rabot-ernsta-neizvestnogo/","отсутсвует"
"«Дискотека Авария» пострадала из-за пьяного фаната «Пей пиво»","Культура","LENTA","Fri, 29 May 2026 18:07:00 +0300","https://lenta.ru/news/2026/05/29/diskoteka-avariya-postradala-iz-za-pyanogo-fanata-pey-pivo/","отсутсвует"
"Водитель «КамАЗа» подорвался на мине ВСУ на трассе «Новороссия»","Бывший СССР","LENTA","Fri, 29 May 2026 18:05:00 +0300","https://lenta.ru/news/2026/05/29/voditel-kamaza-podorvalsya-na-mine-vsu-na-trasse-novorossiya/","отсутсвует"
"Призывавший к терроризму россиянин попал на видео","Силовые структуры","LENTA","Fri, 29 May 2026 18:04:54 +0300","https://lenta.ru/news/2026/05/29/prizyvavshiy-k-terrorizmu-rossiyanin-popal-na-video/","отсутсвует"
"Россия разработала варианты облика элементов лунной базы","Наука и техника","LENTA","Fri, 29 May 2026 18:04:01 +0300","https://lenta.ru/news/2026/05/29/rossiya-razrabotala-varianty-oblika-elementov-lunnoy-bazy/","отсутсвует"
"Бывший тренер «Спартака» возглавил итальянский клуб","Спорт","LENTA","Fri, 29 May 2026 17:59:13 +0300","https://lenta.ru/news/2026/05/29/byvshiy-trener-spartaka-vozglavil-italyanskiy-klub/","отсутсвует"
"Россиянин выиграл 120 тысяч рублей и стал лучшим сварщиком в Курганской области","Моя страна","LENTA","Fri, 29 May 2026 17:58:00 +0300","https://lenta.ru/news/2026/05/29/rossiyanin-vyigral-120-tysyach-rubley-i-stal-luchshim-svarschikom-v-kurganskoy-oblasti/","отсутсвует"
"Лукашенко назвал Макрона аксакалом","Бывший СССР","LENTA","Fri, 29 May 2026 17:56:00 +0300","https://lenta.ru/news/2026/05/29/lukashenko-nazval-makrona-aksakalom/","отсутсвует"
"Назван причастный к выставке подделок Эрнста Неизвестного","Силовые структуры","LENTA","Fri, 29 May 2026 17:56:00 +0300","https://lenta.ru/news/2026/05/29/nazvan-prichastnyy-k-vystavke-poddelok-ernsta-neizvestnogo/","отсутсвует"
"Москвичам назвали время наступления летней погоды","Экономика","LENTA","Fri, 29 May 2026 17:52:18 +0300","https://lenta.ru/news/2026/05/29/msk-leto/","отсутсвует"
"Желание сделать музыку погромче лишило россиянина жизни","Силовые структуры","LENTA","Fri, 29 May 2026 17:50:00 +0300","https://lenta.ru/news/2026/05/29/zhelanie-sdelat-muzyku-pogromche-lishilo-rossiyanina-zhizni/","отсутсвует"
"Лукашенко анонсировал визит доверенного лица Макрона","Бывший СССР","LENTA","Fri, 29 May 2026 17:49:00 +0300","https://lenta.ru/news/2026/05/29/lukashenko-anonsiroval-vizit-doverennogo-litsa-makrona/","отсутсвует"
